Term,Definition,Greek/Latin,POS
carp-,carpals (wrist),"carpus, -i m (wrist)",Word Root
chondr-,cartilage,"χόνδρος (grain, granule of salt, gruel, gristle)",Word Root
clavic-,clavicle (collarbone),"clavicula, -ae > dim. of clavis = key, bolt, bar, tool to drive a top/wheel",Word Root
clavicul-,clavicle (collarbone),"clavicula, -ae ",Word Root
cost-,rib,"costa, -ae f. (rib)",Word Root
crani-,cranium (skull),"κρανίον (upper part of head, skull, head)",Word Root
disk-,intervertebral disk,"δίσκος (dish, round mirror, gong)",Word Root
femor-,femur (upper leg bone),"femur, femoris n. (femur)",Word Root
fibul-,fibula (lower leg bone),"fibula, -ae (fibula)",Word Root
humer-,humerus (upper arm bone),"(h)umerus, -i (no h in the original latin) [bone of upper arm, shoulder]",Word Root
ili-,ilium,"ilia, -orum (n pl) (groin, flanks, abdomen below ribs)",Word Root
ischi-,ischium,ἰσχίον (hip joint) ,Word Root
knesi-,"movement, motion",κίνησις (movement),Word Root
kyph-,hump (increased convexity of the spine),κυφός (hunched),Word Root
lamin-,"lamina (thin, flat plate or layer) ","lamina, -ae f. (thin metal plate, layer)",Word Root
lord-,bent forward (increased concavity of the spine),"λορδός (bent backward, convex in front)",Word Root
lumb-,"loin, lumbar region of the spine","lumbus, -i (loin, genital organs)",Word Root
mandibul-,mandible (lower jawbone),"mandibula, -ae/mandibulum, -i post-Classical (jaw)",Word Root
maxill-,maxilla (upper jawbone),"maxilla, -ae (jaw)",Word Root
menisc-,meniscus (crescent),"meniscus, -i (meniscus, little moon – new Latin)",Word Root
myos-,muscle,"μῦς, μύος (field mouse, muscle)",Word Root
oste-,bone,ὀστέον (bone),Word Root
patell-,patella,"patella, -ae (kneecap, small dish))",Word Root
petr-,stone,"πέτρα (rock, cliff, stone)",Word Root
phalang-,phalanges (any bone of fingers or toes),"φάλανξ, φάλαγγος (line of soldiers, finger)",Word Root
pub-,pubis,"pubes, pubis f. (young men, male genitals)",Word Root
rachi-,"vertebra, spine, vertebral cloumn","ῥάχις, ράχιος (spine/backbone) ",Word Root
radi-,radius (lower arm bone),"radius, -ii (rod, spoke, ray, radius bone)",Word Root
sacr-,sacrum,short for os sacrum (sacrum = holy),Word Root
scapul-,scapula (shoulder blade),"scapula, ae f. shoulder-blades, shoulder, back)",Word Root
scoli-,"crooked, curved (spine)","σκολιός (twisted, bent, crooked)",Word Root
spondyl-,"vertebra, spine, vertebral cloumn",σπόνδυλος (a vertebra and other ridge-y things),Word Root
stern-,sternum (breastbone) ,"sternum, i, (chest)",Word Root
synovi-,"synovia, synovial membrane",invented Latin,Word Root
tars-,tarsals (ankle bones),"ταρσός (mat, flat of the foot btw toes/heels, palm of the hand, ankle)",Word Root
ten-,tendon,"tendo, tendinis (medical latin), comes from τένων, τένοντος (sinew. tendon, stretched band)",Word Root
tend-,tendon,"tendo, tendinis",Word Root
tendin-,tendon,"tendo, tendinis",Word Root
tibi-,tibia (lower leg bone),"tibia, ae (large shin bone, pipe or flute)",Word Root
uln-,ulna (lower arm bone),"ulna, -ae (elbow, arm) (from greek:ὠλένη)",Word Root
vertebr-,"vertebra, spine, vertebral column","vertebra, -ae (joint, vertebra in spine)",Word Root
inter-,between,inter (between),Prefix
supra-,above,supra (above),Prefix
sym-,"together, joined",σύν (with),Prefix
syn-,"together, joined",σύν,Prefix
 -asthenia,weakness,α (not) + σθένος (strength),Suffix
 -clasia ,break,"κλάσις (breaking, fracture)",Suffix
 -clasis,break,κλάσις),Suffix
 -clast,break,κλαστός (adj: broken in pieces),Suffix
 -desis,"surgical fixation, fusion",δέσις (binding together),Suffix
 -physis,growth,"φύσις (nature, natural form as a result of growth)",Suffix
 -schisis,"split, fissure","σχίσις (cleaving, parting, division)",Suffix
cerebell-,cerebellum,"cerebellum > dim. of cerebrum ""little brain""",Word Root
cerebr-,"cerebrum, brain","cerebrum, i n. (brain, understanding)",Word Root
dur-,"hard, dura mater",durus (adj),Word Root
encephal-,brain,εγκέφαλος (εν – in +κεφαλη - head),Word Root
esthesi-,"sensation, sensitivity, feeling",αἴσθησις (perception),Word Root
gangli-,ganglion,γαγγλίον (encysted tumor on a tendon/aponeurosis),Word Root
ganglion-,ganglion,γαγγλίον ,Word Root
gli-,"glia, gluey substance",γλία (glue),Word Root
mening-,meninges,"(meninga, -ae) μῆνιγξ, μήνιγγος, ἡ (membrane, eye/eardrum esp of brain - dura mater)",Word Root
meningi-,meninges,"(meninga, -ae) μῆνιγξ, μήνιγγος, ἡ ",Word Root
ment-,mind,"mens, mentis f. (mind)",Word Root
mon-,"one, single","μόνος (one, only)",Word Root
myel-,spinal cord,"μυελός (marrow; brain, spinal cord)",Word Root
phas-,speech,"φάσις (utterance, expression)",Word Root
poli-,gray matter,πολίος (gray [usually of hair]),Word Root
psych-,mind,"ψυχή (life, soul, consciousness)",Word Root
quadr-,four,quattor (four) / quadro (to make square) ,Word Root
radic-,nerve root,"radix, radicis f. (root, foundation) - related to greek ῥίζα (root) ῥάδιξ (twig)",Word Root
radicul-,nerve root,"dim of radix; in Latin there does exist radicula, -ae (small root)",Word Root
rhiz-,nerve root,ῥίζα (root),Word Root
 -iatrist,"specialist, physician",ἰατρός (doctor) + ist (latin -ista/Gk ιστης - one who does...),Suffix
 -iatry,"treatment, specialty",ἰατρός + y,Suffix
 -ictal,"seizure, attack","ictus, -us (blow) + al",Suffix
 -paresis,slight paralysis,"πάρεσις (letting go, paralysis)",Suffix
acr-,"extremities, height",ακρον (noun - extremity of body),Word Root
adren-,adrenal glands,invented: ad (near) + ren (kidney),Word Root
adrenal-,adrenal glands,ad (near)+ ren (kidney)+ al (pertaining to),Word Root
calc-,calcium,"calx, calcis f.  (limestone, game stone, also: the heel)",Word Root
cortic-,cortex (outer layer of body organ),"cortex, icis f  (bark)",Word Root
dips-,thirst,δίψα (thirst),Word Root
endocrin-,endocrine,"ἔνδον + κρίνω (chose, judge, i.e. separate)",Word Root
kal-,potassium,"kalium; new Latin, from alkali, > through many steps, comes from a variant of Arabic qily ""saltwort ashes"" (saltwort = plants growing on sea beaches, salt marshes, etc, especially of amaranth)",Word Root
natr-,sodium,"νίτρον, into arabic, into spanish, into french as natron",Word Root
parathyroid-,parathyroid glands,παρα (alongside/near) + θυροιδ (door-like appearance),Word Root
pituitar-,pituitary gland,"pituita, -ae (slime, phlegm)",Word Root
thyr-,thyroid gland,θυρεοιεδες (shield shaped: from Galen describing the adam's apple) ,Word Root
thyroid-,thyroid gland,θυρεοιεδες,Word Root
 -drome,"run, running","δρομή = δρόμος (course, race)",Suffix
